 	AMZ011 	Caribbean Nof 18N W of 85W including Yucatan Basin
atom 	ANZ373 	Waters from Fire Island Inlet NY to Moriches Inlet NY from 20 to 40 NM
atom 	ANZ375 	Waters from Sandy Hook NJ to Fire Island Inlet out 20 to 40 nm
atom 	ANZ430 	Delaware Bay waters north of East Point NJ to Slaughter Beach DE
atom 	ANZ431 	Delaware Bay waters south of East Point NJ to Slaughter Beach DE
atom 	ANZ450 	Coastal waters from Sandy Hook to Manasquan Inlet NJ out 20 nm
atom 	ANZ451 	Coastal waters from Manasquan Inlet to Little Egg Inlet NJ out 20 nm
atom 	ANZ452 	Coastal waters from Little Egg Inlet to Great Egg Inlet NJ out 20 nm
atom 	ANZ453 	Coastal waters from Great Egg Inlet to Cape May NJ out 20 nm
atom 	ANZ454 	Coastal waters from Cape May NJ to Cape Henlopen DE out 20 nm
atom 	ANZ455 	Coastal waters from Cape Henlopen to Fenwick Island DE out 20 nm
atom 	ANZ470 	Waters from Sandy Hook NJ to Manasquan Inlet NJ out 20 to 40 nm
atom 	ANZ471 	Waters from Manasquan Inlet NJ to Little Egg Inlet NJ out 20 to 40 nm
atom 	ANZ472 	Waters from Little Egg Inlet NJ to Great Egg Inlet NJ out 20 to 40 nm from 20 to 40 NM
atom 	ANZ473 	Waters from Great Egg Inlet NJ to Cape May NJ out 20 to 40 nm
atom 	ANZ475 	Waters from Cape May NJ to Fenwick Island DE out 20 to 40 nm
atom 	ANZ530 	Chesapeake Bay north of Pooles Island MD
atom 	ANZ531 	Chesapeake Bay from Pooles Island to Sandy Point MD
atom 	ANZ532 	Chesapeake Bay from Sandy Point to North Beach MD
atom 	ANZ533 	Chesapeake Bay from North Beach to Drum Point MD
atom 	ANZ534 	Chesapeake Bay from Drum Point MD to Smith Point VA
atom 	ANZ535 	Tidal Potomac from Key Bridge to Indian Head MD
atom 	ANZ536 	Tidal Potomac from Indian Head to Cobb Island MD
atom 	ANZ537 	Tidal Potomac from Cobb Island MD to Smith Point VA
atom 	ANZ538 	Patapsco River including Baltimore Harbor
atom 	ANZ539 	Chester River to Queenstown MD
atom 	ANZ540 	Eastern Bay
atom 	ANZ541 	Choptank River to Cambridge MD and the Little Choptank River
atom 	ANZ542 	Patuxent River to Broomes Island MD
atom 	ANZ543 	Tangier Sound and the inland waters surrounding Bloodsworth Island
atom 	ANZ630 	Chesapeake Bay from Smith Point to Windmill Point VA
atom 	ANZ631 	Chesapeake Bay from Windmill Point to New Point Comfort VA
atom 	ANZ632 	Chesapeake Bay from New Point Comfort to Little Creek VA
atom 	ANZ633 	Currituck Sound
atom 	ANZ634 	Chesapeake Bay from Little Creek VA to Cape Henry VA including the Chesapeake Bay Bridge Tunnel
atom 	ANZ635 	Rappahannock River from Urbanna to Windmill Point
atom 	ANZ636 	York River
atom 	ANZ637 	James River from Jamestown to the James River Bridge
atom 	ANZ638 	James River from James River Bridge to Hampton Roads Bridge-Tunnel
atom 	ANZ650 	Coastal waters from Fenwick Island DE to Chincoteague VA out 20 nm
atom 	ANZ652 	Coastal waters from Chincoteague to Parramore Island VA out 20 nm
atom 	ANZ654 	Coastal waters from Parramore Island to Cape Charles Light VA out 20 nm
atom 	ANZ656 	Coastal Waters from Cape Charles Light to Virginia-North Carolina border out to 20 nm
atom 	ANZ658 	Coastal waters from NC VA border to Currituck Beach Light NC out 20 nm
atom 	ANZ670 	Waters from Fenwick Island DE to Chintoteague VA from 20 to 40 nm
atom 	ANZ672 	Waters from Chincoteague VA to Parramore Island VA from 20 to 40 nm
atom 	ANZ674 	Waters from Parramore Island VA to Cape Charles Light VA from 20 to 40 nm
atom 	ANZ676 	Waters from Cape Charles Light to Virginia - North Carolina Border from 20 to 40 nm
atom 	ANZ678 	Waters from NC VA border to Currituck Beach Light NC from 20 to 40 nm
atom 	ANZ800 	Gulf of Maine to the Hague Line
atom 	ANZ805 	Georges Bank between Cape Cod and 68W north of 1000 FM
atom 	ANZ810 	South of New England between the Great South Channel and Montauk Point to 1000 FM
atom 	ANZ815 	South of Long Island between Montauk Point and Sandy Hook to 1000 FM
atom 	ANZ820 	Hudson Canyon to Baltimore Canyon to 1000 FM
atom 	ANZ825 	Baltimore Canyon to Cape Charles Light to 100 NM offshore
atom 	ANZ828 	Cape Charles Light to Currituck Beach Light to 100 NM offshore
atom 	ANZ830 	Currituck Beach Light to Cape Hatteras to 100 NM offshore
atom 	ANZ833 	Cape Hatteras to Cape Fear to 100 NM Offshore.
atom 	ANZ835 	Cape Fear to 31N to 1000 FM
atom 	ANZ900 	Georges Bank between 68W and the Hague Line
atom 	ANZ905 	East of 69W to the Hague Line between 1000 FM and 39N
atom 	ANZ910 	East of 69W and south of 39N to 250 NM offshore
atom 	ANZ915 	Between 1000FM and 38.5 N west of 69 W
atom 	ANZ920 	Baltimore Canyon to 69W east of 1000 FM and south of 38.5N to 250 NM offshore
atom 	ANZ925 	Baltimore Canyon to Hatteras Canyon between 100 NM and 250 NM offshore
atom 	ANZ930 	Hatteras Canyon to Cape Fear between 100 NM and 250 NM offshore
atom 	ANZ935 	Cape Fear to 31N east of 1000 FM to 250 NM offshore
